,Unnamed: 0,source_id,has_epoch_photometry,has_epoch_rv,has_epoch_rv.1,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,ra,dec,abp_gspphot,ag_esphs,ag_gspphot,age_flame,alphafe_gspspec,arp_gspphot,b,bp_g,bp_rp,cafe_gspspec,cefe_gspspec,classlabel_espels,crfe_gspspec,distance_gspphot,ebpminrp_esphs,ebpminrp_gspphot,ecl_lat,ecl_lon,evolstage_flame,feiim_gspspec,fem_gspspec,g_rp,gravredshift_flame,l,logg_esphs,logg_gspphot,logg_gspspec,lum_flame,mass_flame,mg_gspphot,mgfe_gspspec,mh_gspphot,mh_gspspec,ndfe_gspspec,nfe_gspspec,nife_gspspec,parallax,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,pm,pmdec,pmra,pseudocolour,radial_velocity,radius_flame,radius_gspphot,sfe_gspspec,sife_gspspec,spectraltype_esphs,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,tife_gspspec,vsini_esphs,zrfe_gspspec,SpT2,SpT2_dereddened,Star_Type,evolstage_type
2399348,55761,442460182151169024,False,False,False,False,True,False,True,True,54.11274436695008,52.5061699774306,,,,,,,-2.606478596437854,2.066286,3.3905735,,,,,,,,32.12654188392851,65.0823972063773,0.0,,,1.3242874,,146.62077752601328,,,1.5,,,,,,-0.67,,,,0.2392032751936615,13.859714,11.793427,10.46914,0.3214735,0.272785505936157,-0.1700978897542842,1.1910695,-52.151257,,,,,CSTAR,,,,4250.0,,,,M5V,O3V,null,NA                                                
1904651,73652,2197757172222745344,False,False,False,False,True,False,True,True,330.0719962162973,54.39921668494459,,,,,,,-0.5420049318653016,1.7737446,3.035222,,,,,,,,59.488328995310816,6.441794175864938,0.0,,,1.2614775,,99.6378576027266,,,1.5,,,,,,-1.02,,,,0.1371268060191482,15.200183,13.426438,12.164961,3.3675365,-2.69362751935211,-2.0210572496796875,,-99.42203,,,,,CSTAR,,,,4250.0,,,,M4V,O3V,null,NA                                                
1905560,74561,2197765414252452480,True,False,False,False,True,False,True,True,330.3225712725724,54.5425735836385,,,,,,,-0.5154857141371895,2.6966667,4.101639,,,,,,,,59.4944485182393,6.844119079547998,0.0,,,1.4049721,,99.84047684656,,,,,,,,,,,,,0.2663755304145237,14.640348,11.943682,10.53871,5.551046,-3.907291325055608,-3.9429915764677856,,,,,,,CSTAR,,,,,,,,M5.5V,O3V,null,NA                                                
1908216,77217,2197791909919158400,False,False,False,False,True,False,True,True,330.65751101709856,54.75850856875111,,,,,,,-0.4589340522115343,1.6043825,2.817317,,,,,,,,59.52012957251264,7.413655616691474,0.0,,,1.2129345,,100.12505953704442,,,,,,,,,,,,,0.1324209320828353,15.805633,14.20125,12.988316,4.0483108,-2.5439208328262684,-3.149172194457046,,-112.97463,,,,,CSTAR,,,,,,,,M3.5V,O3V,null,NA                                                
1905989,74990,2197768957613488256,False,False,False,False,True,False,True,True,330.4759646332372,54.73727276452885,5.2748,,3.8971,,,3.1148,-0.4131841621617445,1.5959139,2.8358908,,,,,12331.714,,2.1599,59.57625536261628,7.234107109602039,760.0,,,1.2399769,0.0661566,100.02842546034252,,1.513,,1515.8818,5.341143,-4.7645,,-0.0401,,,,,0.1231647126572823,16.121462,14.525548,13.285571,4.819709,-2.5626925156282496,-4.081935873566286,,-116.75512,34.86512,79.0498,,,CSTAR,,,6036.5547,,,,,M3.5V,F7V,red_giants,(490-860) base of the red giant brach (RGB)       
1770734,9037,2197904334983990144,False,False,False,False,True,True,True,True,331.3576440209643,55.36205122646357,5.7656,,4.1755,,,3.4447,-0.2114334230116442,1.9723091,3.2798424,,,,,3916.8977,,2.3208,59.68265054068572,8.809165693215476,837.0,,,1.3075333,0.053794052,100.80608354868868,,1.8847,,2882.0835,6.3444953,-2.8574,,-0.2247,,,,,0.11700855455034,16.336813,14.364504,13.056971,2.648079,-1.5077407308875936,-2.1769335507471967,,-93.99165,51.371593,39.476,,,CSTAR,,,5276.1685,,,,,M4.5V,G9V,red_giants,(490-860) base of the red giant brach (RGB)       
1907358,76359,2197781773795624320,True,False,False,False,True,False,True,True,330.0267238113856,54.8379078483954,,,,,,,-0.1767943713840213,2.4771366,3.8751345,,,,,,,,59.82693694441025,6.996365788778179,0.0,,,1.3979979,,99.88231794940606,,,,,,,,,,,,,0.051107983820301,17.386856,14.909719,13.511722,3.811021,-2.6874306809710826,-2.7021470194359654,,-125.989456,,,,,CSTAR,,,,,,,,M5.5V,O3V,null,NA                                                
1763660,1963,2197820497222052736,False,False,False,False,True,False,True,True,330.973622629068,55.24656121290872,,,,,,,-0.1751111518390034,1.6824522,2.9145937,,,,,,,,59.7502158284469,8.337575281217502,0.0,,,1.2321415,,100.561540201528,,,1.5,,,,,,-0.41,,,,0.1558616367755761,15.351702,13.66925,12.437108,3.328451,-2.8856375289185805,-1.6588191693633365,,-71.72882,,,,,CSTAR,,,,4250.0,,,,M3.5V,O3V,null,NA                                                
1763550,1853,2197819363350322176,False,False,False,False,True,False,True,True,330.7485367612231,55.173311536856936,5.0611,,3.6702,,,3.0584,-0.1574776510973068,1.8857574,3.1732264,,,,,2870.7488,,2.0029,59.785819152222366,8.052576468097294,554.0,,,1.2874689,0.1344755,100.41474664086208,,2.197,,1061.9872,4.9817996,-1.2182,,0.1705,,,,,0.201521232160115,16.608288,14.72253,13.435061,3.8627536,-2.704668098716863,-2.757831920674121,,-60.620926,26.063782,24.3766,,,CSTAR,,,4709.8286,,,,,M4.5V,K2V,red_giants,(490-860) base of the red giant brach (RGB)       
1907426,76427,2197782460990538624,False,False,False,True,True,False,True,True,329.9552159506957,54.83189741942474,4.2019,,3.0616,0.26968122,,2.5188,-0.1566419533811549,1.6360226,2.8692932,,,,,2863.6277,,1.6834,59.85079574320589,6.92849081551566,630.0,,,1.2332706,0.033938974,99.8459019502182,,1.9345,,273.13843,3.407614,-0.8401,,-0.6069,,,,,0.1586815679853985,16.162785,14.526762,13.293491,4.6094103,-3.367101410460563,-3.1479024087013,,-84.24444,27.156876,21.9387,,,CSTAR,,,4605.0464,,,,,M3.5V,K2V,red_giants,(490-860) base of the red giant brach (RGB)       
